PEOPLE_POSITIVE_CASES_COUNT,REPORT_DATE,PEOPLE_DEATH_NEW_COUNT,COUNTRY_SHORT_NAME,PEOPLE_POSITIVE_NEW_CASES_COUNT,PEOPLE_DEATH_COUNT
254220,5/19/20,674,Brazil,13140,16792
981,5/18/20,0,Sri Lanka,21,9
241080,5/18/20,485,Brazil,7938,16118
22268,5/18/20,14,Bangladesh,1273,328
12229,5/18/20,18,Egypt,510,630
42125,5/18/20,30,Pakistan,1974,903
96169,5/18/20,157,India,5242,3029
17514,5/18/20,59,Indonesia,489,1148
11719,5/17/20,20,Egypt,491,612
960,5/17/20,0,Sri Lanka,25,9
17025,5/17/20,13,Indonesia,529,1089
233142,5/17/20,816,Brazil,14919,15633
90927,5/17/20,120,India,4987,2872
40151,5/17/20,39,Pakistan,1352,873
20995,5/17/20,16,Bangladesh,930,314
16496,5/16/20,33,Indonesia,490,1076
935,5/16/20,0,Sri Lanka,10,9
85940,5/16/20,103,India,3970,2752
38799,5/16/20,31,Pakistan,1581,834
218223,5/16/20,824,Brazil,15305,14817
11228,5/16/20,21,Egypt,399,592
20065,5/16/20,15,Bangladesh,1202,298
925,5/15/20,0,Sri Lanka,10,9
18863,5/15/20,14,Bangladesh,1041,283
10829,5/15/20,15,Egypt,398,571
16006,5/15/20,15,Indonesia,568,1043
81970,5/15/20,100,India,3967,2649
202918,5/15/20,844,Brazil,13944,13993
37218,5/15/20,33,Pakistan,1430,803
17822,5/14/20,19,Bangladesh,1162,269
10431,5/14/20,12,Egypt,338,556
915,5/14/20,0,Sri Lanka,26,9
78003,5/14/20,134,India,3722,2549
15438,5/14/20,21,Indonesia,689,1028
35788,5/14/20,33,Pakistan,1452,770
188974,5/14/20,749,Brazil,11385,13149
889,5/13/20,0,Sri Lanka,20,9
14749,5/13/20,16,Indonesia,484,1007
177589,5/13/20,881,Brazil,9258,12400
16660,5/13/20,11,Bangladesh,969,250
34336,5/13/20,31,Pakistan,2255,737
10093,5/13/20,11,Egypt,347,544
74281,5/13/20,122,India,3525,2415
14265,5/12/20,18,Indonesia,233,991
869,5/12/20,0,Sri Lanka,6,9
15691,5/12/20,11,Bangladesh,1034,239
32081,5/12/20,39,Pakistan,1140,706
70756,5/12/20,87,India,3604,2293
168331,5/12/20,396,Brazil,5632,11519
9746,5/12/20,8,Egypt,346,533
14032,5/11/20,14,Indonesia,387,973
9400,5/11/20,11,Egypt,436,525
162699,5/11/20,496,Brazil,6760,11123
67152,5/11/20,97,India,4213,2206
14657,5/11/20,14,Bangladesh,887,228
863,5/11/20,0,Sri Lanka,16,9
30941,5/11/20,28,Pakistan,1476,667
29465,5/10/20,21,Pakistan,1991,639
13770,5/10/20,8,Bangladesh,636,214
847,5/10/20,0,Sri Lanka,12,9
155939,5/10/20,730,Brazil,10611,10627
13645,5/10/20,16,Indonesia,533,959
62939,5/10/20,128,India,3277,2109
8964,5/10/20,11,Egypt,488,514
27474,5/9/20,24,Pakistan,1637,618
145328,5/9/20,751,Brazil,10222,9897
59662,5/9/20,95,India,3320,1981
835,5/9/20,0,Sri Lanka,11,9
13112,5/9/20,13,Indonesia,336,943
13134,5/9/20,7,Bangladesh,709,206
8476,5/9/20,21,Egypt,495,503
135106,5/8/20,610,Brazil,9888,9146
824,5/8/20,0,Sri Lanka,27,9
12425,5/8/20,13,Bangladesh,706,199
12776,5/8/20,35,Indonesia,338,930
